event_id,titel,beschreibung,datum_start,datum_ende,zeitzone,ort_name,ort_adresse,ort_lat,ort_lon,kategorie,teilnehmer,veranstalter,kontakt_email,url,status,wiederholung
11,Jugendbeirat im Gespräch,Offene Gesprächsrunde des Jugendbeirats zu Freizeitangeboten und Beteiligung.,2026-08-12T17:30:00,2026-08-12T19:30:00,Europe/Berlin,Bürgerhaus Nord,Beispielweg 18 73730 Esslingen,48.7468,9.3188,Politik,Jugendliche;Jugendbeirat;Gäste,Jugendforum Musterstadt,jugend@example.org,https://events.example.org/jugendbeirat,geplant,
12,Grundkurs Fotografie,Ein Einführungskurs zu Bildgestaltung und praktischen Übungen im Stadtraum.,2026-08-15T10:00:00,2026-08-15T15:00:00,Europe/Berlin,Bildungszentrum,Schulstraße 6 73730 Esslingen,48.7351,9.2934,Bildung,Teilnehmende;Kursleitung,Fotoakademie Beispielstadt,foto@example.org,https://events.example.org/fotografie,geplant,
13,Sommerlauf für alle,Ein gemeinsamer Lauf mit kurzen Strecken und barrierearmen Startgruppen.,2026-08-20T17:00:00,2026-08-20T20:00:00,Europe/Berlin,Neckarwiese,Flussufer 2 73728 Esslingen,48.7354,9.3041,Sport,Läuferinnen;Helfende;Familien,Laufteam Musterstadt,lauf@example.org,https://events.example.org/sommerlauf,geplant,
14,Stadtratssprechstunde,Gelegenheit für Einwohnerinnen und Einwohner Fragen an Mitglieder des Stadtrats zu richten.,2026-08-22T10:00:00,2026-08-22T12:00:00,Europe/Berlin,Rathausforum,Beispielplatz 1 73728 Esslingen,48.7428,9.3072,Politik,Einwohnerinnen;Stadtrat,Dialog Musterstadt,sprechstunde@example.org,https://events.example.org/sprechstunde,geplant,
15,Familienwerkstatt Natur,Mitmachstationen zu Pflanzen und Tieren für Kinder und ihre Begleitpersonen.,2026-08-29T11:00:00,2026-08-29T15:00:00,Europe/Berlin,Naturwerkstatt Ost,Beispielallee 21 73734 Esslingen,48.7284,9.3241,Bildung,Kinder;Familien;Pädagoginnen,Natur lernen Beispielstadt,natur@example.org,https://events.example.org/naturwerkstatt,geplant,
16,Filmabend unter freiem Himmel,Ein gemeinsamer Filmabend mit anschließender moderierter Gesprächsrunde.,2026-09-05T20:00:00,2026-09-05T23:00:00,Europe/Berlin,Innenhof Kulturhaus,Kulturweg 8 73730 Esslingen,48.7302,9.2889,Kultur,Filminteressierte;Moderation,Kinohof Musterstadt,film@example.org,https://events.example.org/filmabend,geplant,
17,Erste-Hilfe-Kurs,Grundlagen der Ersten Hilfe mit praktischen Übungen und Teilnahmebescheinigung.,2026-09-12T09:00:00,2026-09-12T14:00:00,Europe/Berlin,Seminarhaus Mitte,Beispielstraße 20 73728 Esslingen,48.7395,9.3068,Bildung,Teilnehmende;Ausbilderinnen,Hilfewerk Beispielstadt,hilfe@example.org,https://events.example.org/erste-hilfe,geplant,
18,Stadtteilfest am Bach,Ein Nachbarschaftsfest mit Musik und Kinderprogramm. Der Termin muss wegen Bauarbeiten entfallen.,2026-09-19T14:00:00,2026-09-19T20:00:00,Europe/Berlin,Bachplatz,Beispielweg 2 73733 Esslingen,48.7302,9.2889,Sonstiges,Nachbarschaft;Kinder;Helfende,Stadtteilverein Musterstadt,stadtteil@example.org,https://events.example.org/stadtteilfest,abgesagt,
19,Herbstbörse für Fahrräder,Privater Verkauf und Tausch gebrauchter Fahrräder mit kostenloser Beratung.,2026-09-26T10:00:00,2026-09-26T15:00:00,Europe/Berlin,Mehrzweckhalle Süd,Beispielring 10 73734 Esslingen,48.7284,9.3241,Sport,Fahrradbesitzerinnen;Beratung;Familien,Mobilität Musterstadt,fahrrad@example.org,https://events.example.org/fahrradboerse,geplant,
20,Erntefest im Quartier,Ein saisonales Fest mit regionalen Produkten und offenen Angeboten für die Nachbarschaft.,2026-10-03T11:00:00,2026-10-03T18:00:00,Europe/Berlin,Quartiersplatz West,Beispielweg 30 73730 Esslingen,48.7351,9.2934,Soziales,Nachbarschaft;Vereine;Gäste,Quartierwerk Beispielstadt,ernte@example.org,https://events.example.org/erntefest,geplant,
